benchmark_id,name,source_url,public_flag,detail_public_flag,is_top,hot,support_online_eval,certificate_level_id,certificate_level,card_description_cn,card_description_en,card_tags,basic_tags,dimensions,topic_tags,creator_uid,creator_name,github_url,paper_url,official_website_url,leaderboard_url,view_count,created_at,updated_at,review_success_date,detail_title,detail_description_cn,detail_description_en,detail_download_urls,detail_leaderboard_present,detail_eval_file_present
2571,ELBench,https://hub.opencompass.org.cn/dataset-detail/ELBench,1,1,True,False,False,0,未录入,ELBench 是面向教育场景大语言模型的多维评测集，覆盖安全可信、高阶育人和通用能力。公开任务包含安全回答、教育开放任务、选择题、数学与推理任务，并结合客观规则和大模型判决进行评测。,"ELBench is a multidimensional benchmark for education-facing large language models. It covers safety and trustworthiness, high-level educational cultivation, and  general capabilities, combining objective evaluation with LLM-as-a-Judge.",不支持 | Unsupported,教育 | 多模态模型 | 开源收录,推理 | Reasoning | 学科 | Examination | 安全 | Safety,,10202771,,https://github.com/ZeroLoss-Lab/ELBench,,https://huggingface.co/datasets/ZeroLoss-Lab/ELBench,False,1948,2026-08-06,2026-08-06,2026-08-06 17:43:57,ELBench,ELBench 是面向教育场景大语言模型的多维评测集，覆盖安全可信、高阶育人和通用能力。公开任务包含安全回答、教育开放任务、选择题、数学与推理任务，并结合客观规则和大模型判决进行评测。,"ELBench is a multidimensional benchmark for education-facing large language models. It covers safety and trustworthiness, high-level educational cultivation, and  general capabilities, combining objective evaluation with LLM-as-a-Judge.",https://huggingface.co/datasets/ZeroLoss-Lab/ELBench,False,False
2445,WildClawBench,https://hub.opencompass.org.cn/dataset-detail/WildClawBench,1,1,True,False,False,0,未录入,WildClawBench 从六个任务维度评测 AI 智能体：生产力流程、代码智能、社交互动、搜索与检索、创意合成和安全对齐。基准包含 60 个人工设计的任务，运行在配备真实工具（浏览器、bash、文件系统、电子邮件等）的真实环境中。,"WildClawBench evaluates AI agents across six task categories: productivity flow, code intelligence, social interaction, search & retrieval, creative synthesis, and safety alignment. It comprises 60 hand-authored tasks inside a live environment with real tools — browser, bash, file system, etc.",智能体 | Agent | 代码工程 | Code | 语言生成 | Generation | 任务执行 | Task Execution | 跨模态推理 | Cross-modal Reasoning | 不支持 | Unsupported,Agent Evaluation | In-the-Wild Tasks | Multimodal & Tool-Use Reasoning,智能体 | Agent | 代码 | Code | 创作 | Creation,,43307640,Xuanlang-Dai,https://github.com/InternLM/WildClawBench,,https://internlm.github.io/WildClawBench/,False,1329,2026-04-07,2026-04-07,2026-04-07 16:30:30,WildClawBench,WildClawBench 从六个任务维度评测 AI 智能体：生产力流程、代码智能、社交互动、搜索与检索、创意合成和安全对齐。基准包含 60 个人工设计的任务，运行在配备真实工具（浏览器、bash、文件系统、电子邮件等）的真实环境中。,"WildClawBench evaluates AI agents across six task categories: productivity flow, code intelligence, social interaction, search & retrieval, creative synthesis, and safety alignment. It comprises 60 hand-authored tasks inside a live environment with real tools — browser, bash, file system, etc.",https://huggingface.co/datasets/internlm/WildClawBench,False,False
2383,VRBench,https://hub.opencompass.org.cn/dataset-detail/VRBench,1,1,True,False,False,0,未录入,VRBench是首个专门针对长视频多步推理能力设计的评测基准VRBench。该基准包含 1010 个平均时长1.6小时的长视频，覆盖 8 种语言和 7 种视频类型，标注了 9468 个多步推理问答对和超过 3 万个详细推理步骤。本评测集能够同时对模型的推理过程和推理结果进行评分，是首个同时具备多步推理链标注和评测能力的视频评测集。,"VRBench is the first evaluation benchmark specifically designed to assess multi-step reasoning capabilities over long videos. The benchmark comprises 1,010 long videos with an average duration of 1.6 hours, covering 8 languages and 7 video types. It includes annotations for 9,468 reasoning steps.",多模态模型 | VLM | 逻辑推理 | Reasoning | 视频理解 | Video Understanding | 不支持 | Unsupported,多步推理 | 视频推理 | 多语种,多模态 | Multimodal | 推理 | Reasoning | 视频理解 | Video-Understanding,,115644,yujiashuo,https://github.com/OpenGVLab/VRBench,https://arxiv.org/abs/2506.10857,https://vrbench.github.io/,False,618,2026-01-29,2026-02-03,2026-02-03 14:16:44,VRBench,VRBench是首个专门针对长视频多步推理能力设计的评测基准VRBench。该基准包含 1010 个平均时长1.6小时的长视频，覆盖 8 种语言和 7 种视频类型，标注了 9468 个多步推理问答对和超过 3 万个详细推理步骤。本评测集能够同时对模型的推理过程和推理结果进行评分，是首个同时具备多步推理链标注和评测能力的视频评测集。,"VRBench is the first evaluation benchmark specifically designed to assess multi-step reasoning capabilities over long videos. The benchmark comprises 1,010 long videos with an average duration of 1.6 hours, covering 8 languages and 7 video types. It includes annotations for 9,468 reasoning steps.",https://huggingface.co/datasets/OpenGVLab/VRBench,False,False
2325,SGI-Bench,https://hub.opencompass.org.cn/dataset-detail/SGI-Bench,1,1,True,False,False,0,未录入,"科学通用智能（SGI）被定义为一种人工智能系统，其能够以接近人类科学家的通用性与熟练程度，自主地贯穿并迭代完整的科学研究流程，包括审思、构思、行动与感知四个阶段。SGI-Bench 通过四类与科学家工作流程对齐的任务对上述定义进行操作化刻画，具体包括：深度研究、思想与假设生成、干/湿实验、以及多模态实验推理。该评测基准覆盖10 个科学学科领域，包含1,000 余个由领域专家精心策划的样本，其设计灵感来源于 Science 杂志提出的 125 个重大科学问题（125 Big Questions）。","SGI-Bench operationalizes this definition via four scientist-aligned task families: deep research, idea generation, dry/wet experiments, and multimodal experimental reasoning. The benchmark spans 10 disciplines and more than 1,000 expert-curated samples inspired by Science's 125 Big Questions.",科学智能 | AI for Science | 科学推理 | Scientific Reasoning | 代码工程 | Code | 逻辑推理 | Reasoning | 跨模态推理 | Cross-modal Reasoning | 不支持 | Unsupported,deep research | reasoning | lab protocol,多模态 | Multimodal | 科学 | Science | 代码 | Code,,53001270,WanghanXu,https://github.com/InternScience/SGI-Bench,https://arxiv.org/pdf/2512.16969,https://internscience.github.io/SGI-Page/,False,774,2025-12-23,2025-12-24,2025-12-24 14:38:34,SGI-Bench,"科学通用智能（SGI）被定义为一种人工智能系统，其能够以接近人类科学家的通用性与熟练程度，自主地贯穿并迭代完整的科学研究流程，包括审思、构思、行动与感知四个阶段。SGI-Bench 通过四类与科学家工作流程对齐的任务对上述定义进行操作化刻画，具体包括：深度研究、思想与假设生成、干/湿实验、以及多模态实验推理。该评测基准覆盖10 个科学学科领域，包含1,000 余个由领域专家精心策划的样本，其设计灵感来源于 Science 杂志提出的 125 个重大科学问题（125 Big Questions）。","SGI-Bench operationalizes this definition via four scientist-aligned task families: deep research, idea generation, dry/wet experiments, and multimodal experimental reasoning. The benchmark spans 10 disciplines and more than 1,000 expert-curated samples inspired by Science's 125 Big Questions.",,False,False
2152,InternData-N1,https://hub.opencompass.org.cn/dataset-detail/InternData-N1,1,1,True,False,False,0,未录入,InternData-N1：一个高质量导航数据集，具有最丰富的场景和跨具身/视角的广泛随机化，包含 3000+ 场景和 83 万条 VLN 数据。,"InternData-N1: A high-quality navigation dataset with the most diverse scenes and extensive randomization across embodiments/viewpoints, including 3k+ scenes and 830k VLN data.",物理智能 | Embodied AI | 跨模态推理 | Cross-modal Reasoning | 空间理解 | Spatial Understanding | 不支持 | Unsupported,,多模态 | Multimodal,,50207630,,,,https://huggingface.co/datasets/InternRobotics/InternData-N1,False,804,2025-08-15,2025-08-15,2025-08-15 16:39:55,InternData-N1,InternData-N1：一个高质量导航数据集，具有最丰富的场景和跨具身/视角的广泛随机化，包含 3000+ 场景和 83 万条 VLN 数据。,"InternData-N1: A high-quality navigation dataset with the most diverse scenes and extensive randomization across embodiments/viewpoints, including 3k+ scenes and 830k VLN data.",,False,False
1922,MMSI-Bench,https://hub.opencompass.org.cn/dataset-detail/MMSI-Bench,1,1,True,False,False,0,未录入,"MMSI-Bench 是一个全新的多模态空间智能视觉问答（VQA）基准数据集，专为评估多图像空间推理能力而设计。与专注于单图像关系推理的传统数据集不同，MMSI-Bench 更贴近现实世界，聚焦于需在多张图像之间进行逻辑推理的复杂场景。该数据集由六位三维视觉专家耗时超过300小时构建，精心整理出包含1,000个高质量选择题的问题集，题目来自12万余张图像，并附有精心设计的误导选项与逐步推理过程。对34个主流开源和闭源多模态大语言模型的实证评估显示：最先进的模型准确率仅为30%至40%，而人类表现高达97%，揭示该任务的巨大挑战性与模型发展空间。此外，MMSI-Bench 配套提供自动化错误分析","MMSI-Bench is a novel Visual Question Answering (VQA) benchmark specifically designed to evaluate Multi-image Spatial Intelligence in multimodal large language models (MLLMs). Unlike traditional datasets that focus on spatial reasoning within a single image, MMSI-Bench emphasizes real-world inspired",物理智能 | Embodied AI | 逻辑推理 | Reasoning | 空间理解 | Spatial Understanding | 跨模态推理 | Cross-modal Reasoning | 不支持 | Unsupported,空间智能 | 多模态 | 跨视角,多模态 | Multimodal | 推理 | Reasoning,,155355,kennyutc,https://github.com/OpenRobotLab/MMSI-Bench,https://arxiv.org/pdf/2505.23764,https://runsenxu.com/projects/MMSI_Bench/,False,1083,2025-06-11,2025-06-11,2025-06-11 14:16:32,MMSI-Bench,"MMSI-Bench 是一个全新的多模态空间智能视觉问答（VQA）基准数据集，专为评估多图像空间推理能力而设计。与专注于单图像关系推理的传统数据集不同，MMSI-Bench 更贴近现实世界，聚焦于需在多张图像之间进行逻辑推理的复杂场景。该数据集由六位三维视觉专家耗时超过300小时构建，精心整理出包含1,000个高质量选择题的问题集，题目来自12万余张图像，并附有精心设计的误导选项与逐步推理过程。对34个主流开源和闭源多模态大语言模型的实证评估显示：最先进的模型准确率仅为30%至40%，而人类表现高达97%，揭示该任务的巨大挑战性与模型发展空间。此外，MMSI-Bench 配套提供自动化错误分析","MMSI-Bench is a novel Visual Question Answering (VQA) benchmark specifically designed to evaluate Multi-image Spatial Intelligence in multimodal large language models (MLLMs). Unlike traditional datasets that focus on spatial reasoning within a single image, MMSI-Bench emphasizes real-world inspired",,False,False
1942,OmniDocBench,https://hub.opencompass.org.cn/dataset-detail/OmniDocBench,1,1,True,False,False,0,未录入,OmniDocBench是一个用于评估真实场景下多样性文档解析效果的评测集，它包含了981个页面，覆盖9种文档类型（包括研报、教材、报纸、手写笔记、杂志等），具有段落级别的位置标注和内容标注，还有阅读顺序标注和属性标注，并开发了配套的评测方法，使其既具备单模块的评测能力（包括布局检测，公式识别，表格识别，文本识别），又具备端到端的评测能力，针对不同元素提供了分页面以及分属性的精细化评测结果，精准定位模型文档解析的痛点问题。,"OmniDocBench is a comprehensive benchmark for evaluating document parsing in real-world scenarios. It includes 981 PDF pages across 9 document types, annotated with dense paragraph-level bboxes with text and attributes. Along with its designed evaluation methods, it provides Fine-grained results.",多模态模型 | VLM | 长上下文 | Long Context | OCR与文档理解 | OCR and Document Understanding | 不支持 | Unsupported,Document content extraction,多模态 | Multimodal | 长文本 | Long-Context,,032787,ouyanglinke,https://github.com/opendatalab/OmniDocBench/tree/main?tab=readme-ov-file,https://arxiv.org/pdf/2412.07626,https://huggingface.co/datasets/opendatalab/OmniDocBench,False,848,2025-06-16,2025-06-16,2025-06-16 17:13:23,OmniDocBench,OmniDocBench是一个用于评估真实场景下多样性文档解析效果的评测集，它包含了981个页面，覆盖9种文档类型（包括研报、教材、报纸、手写笔记、杂志等），具有段落级别的位置标注和内容标注，还有阅读顺序标注和属性标注，并开发了配套的评测方法，使其既具备单模块的评测能力（包括布局检测，公式识别，表格识别，文本识别），又具备端到端的评测能力，针对不同元素提供了分页面以及分属性的精细化评测结果，精准定位模型文档解析的痛点问题。,"OmniDocBench is a comprehensive benchmark for evaluating document parsing in real-world scenarios. It includes 981 PDF pages across 9 document types, annotated with dense paragraph-level bboxes with text and attributes. Along with its designed evaluation methods, it provides Fine-grained results.",https://huggingface.co/datasets/opendatalab/OmniDocBench,False,False
1206,MMBench,https://hub.opencompass.org.cn/dataset-detail/MMBench,1,1,True,False,False,3,官方自建,MMBench是OpenCompass 研究团队自建的视觉语言模型评测数据集，可实现从感知到认知能力逐级细分评估。此评测基准包含3000 道单项选择题 ，覆盖 20个细粒度评估维度。,"MMBench is a collection of benchmarks to evaluate the multi-modal understanding capability of large vision language models (LVLMs). This benchmark contains 3,000 multiple-choice questions covering 20 fine-grained assessment dimensions.",多模态模型 | VLM | 逻辑推理 | Reasoning | 图像理解 | Image Understanding | 官方自建 | Official | 不支持 | Unsupported,,多模态 | Multimodal | 推理 | Reasoning | 理解 | Understanding,,4006165,opencompass,https://github.com/open-compass/MMBench,https://arxiv.org/abs/2307.06281,,False,2882,2026-03-23,2026-03-23,2026-03-23 12:06:46,MMBench,MMBench是OpenCompass 研究团队自建的视觉语言模型评测数据集，可实现从感知到认知能力逐级细分评估。此评测基准包含3000 道单项选择题 ，覆盖 20个细粒度评估维度。,"MMBench is a collection of benchmarks to evaluate the multi-modal understanding capability of large vision language models (LVLMs). This benchmark contains 3,000 multiple-choice questions covering 20 fine-grained assessment dimensions.",,False,False
1694,MaritimeBench,https://hub.opencompass.org.cn/dataset-detail/MaritimeBench,1,1,True,False,False,4,合作共建,"MaritimeBench 致力于构建一套科学、公平且严谨的航运知识评估体系。基于行业权威标准，我们持续维护并更新高质量的航运数据集——其中包含1,888道客观选择题（MCQ格式），以全面、多维度地量化模型在航运各领域的能力表现。","MaritimeBench builds a scientific, fair maritime knowledge assessment system. With 1,888 MCQs based on industry standards, we evaluate models' capabilities across shipping domains.",大语言模型 | LLM | 知识储备 | Knowledge | 合作共建 | Co-Built | 不支持 | Unsupported,航运 | 知识 | 海运,学科 | Examination | 知识 | Knowledge,,067099,wangxiangyu,,,,False,1263,2025-04-01,2025-04-22,2025-04-22 11:41:39,MaritimeBench,"MaritimeBench 致力于构建一套科学、公平且严谨的航运知识评估体系。基于行业权威标准，我们持续维护并更新高质量的航运数据集——其中包含1,888道客观选择题（MCQ格式），以全面、多维度地量化模型在航运各领域的能力表现。","MaritimeBench builds a scientific, fair maritime knowledge assessment system. With 1,888 MCQs based on industry standards, we evaluate models' capabilities across shipping domains.",https://huggingface.co/datasets/Hi-Dolphin/MaritimeBench | https://modelscope.cn/datasets/HiDolphin/MaritimeBench,False,True
1558,MM-AlignBench,https://hub.opencompass.org.cn/dataset-detail/MM-AlignBench,1,1,True,False,False,0,未录入,用于评估 MLLM 与人类偏好的一致性的基准。它包含 252 个高质量、人类标注的样本，具有不同的图像类型和开放式问题。它仿照 Arena 风格的基准，使用 GPT-4o 作为评判模型，Claude-Sonnet-3 作为参考模型。,"A benchmark for evaluating MLLMs' alignment with human preferences. It includes 252 high-quality, human-annotated samples with diverse image types and open-ended questions. Modeled after Arena-style benchmarks, it uses GPT-4o as the judge model and Claude-Sonnet-3 as the reference model.",多模态模型 | VLM | 跨模态推理 | Cross-modal Reasoning | 不支持 | Unsupported,,多模态 | Multimodal,,4006165,opencompass,https://github.com/PhoenixZ810/OmniAlign-V,https://arxiv.org/abs/2502.18411,https://phoenixz810.github.io/OmniAlign-V/,False,1373,2025-03-05,2025-03-05,2025-03-05 09:55:00,MM-AlignBench,用于评估 MLLM 与人类偏好的一致性的基准。它包含 252 个高质量、人类标注的样本，具有不同的图像类型和开放式问题。它仿照 Arena 风格的基准，使用 GPT-4o 作为评判模型，Claude-Sonnet-3 作为参考模型。,"A benchmark for evaluating MLLMs' alignment with human preferences. It includes 252 high-quality, human-annotated samples with diverse image types and open-ended questions. Modeled after Arena-style benchmarks, it uses GPT-4o as the judge model and Claude-Sonnet-3 as the reference model.",,False,False
