catalogKey,name,source,decision,evidence_source,input_file,date_field,release_date,precision,event,source_urls,library_decision,library_candidate_date,reason
llm-stats:aa-briefcase,AA-Briefcase,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-06-18,day,official_introduction_or_release,https://artificialanalysis.ai/articles/aa-briefcase,accepted,2026-06-18,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:aa-index,AA-Index,llm_stats,scope_not_release,,,,,day,paper_introduction,,scope_not_release,2025-08-08,Evidence dates the underlying dataset or a public disclosure; release/first introduction of this exact record is not established.
llm-stats:aa-lcr,AA-LCR,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-08-05,day,official_introduction_or_release,https://artificialanalysis.ai/articles/announcing-aa-lcr,accepted,2025-08-05,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:acebench,ACEBench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-01-22,day,paper_introduction,https://arxiv.org/abs/2501.12851,accepted,2025-01-22,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:activitynet,ActivityNet,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2015-06,month,paper_introduction,https://openaccess.thecvf.com/content_cvpr_2015/html/Heilbron_ActivityNet_A_Large-Scale_2015_CVPR_paper.html,accepted,2015-06,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:advancedif,AdvancedIF,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-11-13,day,paper_introduction,https://arxiv.org/abs/2511.10507,accepted,2025-11-13,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:aethercode,AetherCode,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2025-08-22,day,paper_introduction,https://arxiv.org/abs/2508.16402,accepted,2025-08-22,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:agent-startup-bench,Agent Startup Bench,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-06-23,day,official_introduction_or_release,https://seed.bytedance.com/en/blog/seed2-1-officially-released-advancing-ai-productivity,accepted,2026-06-23,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:agents-last-exam,Agents' Last Exam,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2026-06-03,day,paper_introduction,https://arxiv.org/abs/2606.05405,accepted,2026-06-03,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
llm-stats:agieval,AGIEval,llm_stats,accepted,library,evidence/library-reviewed-dates.json,releaseEvidence.date,2023-04-13,day,paper_introduction,https://arxiv.org/abs/2304.06364,accepted,2023-04-13,Unique exact catalog/sourceId match; supplied reviewed evidence identifies the named benchmark's paper or official introduction/release.
